EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
1.6,35,M,married,13,personal,2,Y,Y,Domestic,0
1.6,35,M,married,13,personal,2,Y,N,Domestic,0
1.6,35,M,married,13,government,2,Y,N,Domestic,2144
2.1,34,M,married,13,company,2,Y,Y,Imported,0
1.6,33,M,married,13,government,2,Y,N,Domestic,0
1.8,33,M,married,13,company,2,Y,N,Domestic,0
1.5,59,M,married,13,company,1,Y,N,Domestic,0
2.8,52,M,married,13,company,1,Y,Y,Imported,352
1.6,49,M,married,13,personal,1,Y,N,Domestic,0
1.8,48,M,married,13,personal,1,Y,N,Domestic,0
1.6,46,M,married,13,company,1,Y,Y,Imported,0
2,45,M,married,13,government,1,Y,N,Imported,0
1.2,44,M,married,13,company,1,Y,N,Domestic,0
1.4,44,M,married,13,personal,1,Y,N,Domestic,0
1.8,44,M,married,13,personal,1,Y,Y,Domestic,0
2,44,M,married,13,personal,1,Y,N,Imported,1530.8
1,43,M,married,13,company,1,Y,N,Domestic,0
1.6,41,M,married,13,company,1,Y,N,Domestic,0
2,41,M,married,13,company,1,Y,Y,Imported,0
1.1,40,M,married,13,company,1,Y,N,Domestic,0
1.8,40,M,married,13,personal,1,Y,Y,Imported,0
1.8,40,M,married,13,personal,1,Y,Y,Domestic,0
1.8,40,M,married,13,personal,1,Y,N,Domestic,1427.2
1.8,38,M,married,13,government,1,N,N,Imported,0
1.8,38,M,married,13,personal,1,Y,N,Imported,0
2,38,M,married,13,company,1,Y,N,Imported,0
1.5,36,M,married,13,company,1,Y,N,Domestic,0
2,36,M,married,13,government,1,Y,Y,Domestic,0
2.8,36,M,married,13,personal,1,Y,Y,Imported,0
1.6,35,M,married,13,company,1,N,N,Imported,0
1.8,35,M,married,13,personal,1,N,N,Domestic,0
1.4,34,M,married,13,personal,1,Y,N,Domestic,0
1.8,34,M,married,13,personal,1,Y,Y,Domestic,0
1.8,34,M,married,13,personal,1,Y,N,Imported,0
2.3,34,M,married,13,company,1,Y,N,Imported,0
1.8,33,M,married,13,personal,1,Y,N,Domestic,308
2.3,32,F,married,13,personal,1,N,N,Domestic,0
1,49,M,married,12,personal,10,Y,Y,Domestic,1338.4
2,47,M,married,12,company,10,Y,N,Imported,0
1.8,34,M,married,12,government,10,N,N,Domestic,0
2,34,M,married,12,company,10,Y,N,Domestic,0
2,51,M,married,12,government,9,Y,Y,Imported,0
3,47,M,married,12,personal,9,Y,Y,Imported,0
1.8,44,M,married,12,company,9,Y,N,Domestic,0
1.8,43,M,married,12,personal,9,Y,N,Domestic,0
2,43,M,married,12,company,9,Y,N,Imported,0
1.8,38,M,married,12,personal,9,Y,N,Domestic,2218.4
1.5,34,M,married,12,personal,9,Y,N,Imported,0
1.8,34,M,married,12,personal,9,Y,N,Domestic,198.4
1.8,45,M,married,12,company,8,Y,N,Domestic,0
3,35,M,married,12,company,8,N,Y,Imported,0
1.6,34,M,married,12,government,8,Y,N,Domestic,0
1.8,34,M,married,12,government,8,Y,N,Domestic,2000
3,32,M,married,12,company,8,Y,N,Imported,0
2,36,F,married,12,company,7,Y,Y,Imported,0
2,33,M,married,12,government,7,Y,N,Imported,0
1.8,31,F,married,12,company,7,Y,N,Domestic,0
1.6,56,M,married,12,personal,6,N,N,Domestic,0
1.8,51,M,married,12,company,6,N,N,Domestic,0
2,51,M,married,12,personal,6,Y,N,Imported,0
1.8,49,F,married,12,company,6,N,N,Domestic,1316.4
1.4,44,M,married,12,personal,6,Y,N,Domestic,0
1.8,44,M,married,12,government,6,Y,N,Domestic,0
1.6,41,M,married,12,government,6,Y,N,Domestic,0
1.8,41,M,married,12,personal,6,N,N,Domestic,0
1.8,40,M,married,12,government,6,Y,Y,Domestic,0
1.2,37,M,married,12,personal,6,Y,N,Domestic,0
2,37,M,married,12,company,6,N,N,Domestic,0
